Incident energy,sigma
86.7933,8.465838E-9
86.8129,8.481957E-9
86.83195,8.497624E-9
86.851,8.513292E-9
86.88909,8.544618E-9
86.92822,8.576799E-9
86.96734,8.608972E-9
87.00646,8.641146E-9
87.04558,8.673319E-9
87.07166,8.694768E-9
87.09774,8.716216E-9
87.12382,8.737665E-9
87.1499,8.759114E-9
87.16729,8.773416E-9
87.18468,8.787718E-9
87.22011,8.816856E-9
87.25553,8.845987E-9
87.29095,8.875117E-9
87.32637,8.904247E-9
87.39721,8.962508E-9
87.46805,9.020768E-9
87.49802,9.045416E-9
87.52798,9.070056E-9
87.55794,9.094696E-9
87.5879,9.119336E-9
87.61787,9.143984E-9
87.64783,9.168624E-9
87.70775,9.217903E-9
87.83573,9.323157E-9
87.86773,9.349475E-9
87.89972,9.375784E-9
87.93171,9.402093E-9
87.9637,9.428403E-9
87.99295,9.452459E-9
88.0222,9.476514E-9
88.05145,9.50057E-9
88.0807,9.524626E-9
88.10995,9.548682E-9
88.1392,9.572738E-9
88.16845,9.596794E-9
88.1977,9.62085E-9
88.20595,9.627635E-9
88.2142,9.63442E-9
88.23289,9.649791E-9
88.25158,9.665162E-9
88.28895,9.695896E-9
88.34304,9.740381E-9
88.39712,9.784858E-9
88.4512,9.829334E-9
88.50528,9.873811E-9
88.561,9.919637E-9
88.61672,9.965462E-9
88.67244,1.001129E-8
88.7003,1.00342E-8
88.72815,1.00571E-8
88.76008,1.008336E-8
88.792,1.010962E-8
88.85173,1.015874E-8
88.91145,1.020785E-8
88.98703,1.027001E-8
89.06293,1.033244E-8
89.0819,1.034804E-8
89.1146,1.037493E-8
89.15547,1.040854E-8
89.17995,1.042868E-8
89.21208,1.04551E-8
89.2442,1.048152E-8
89.27632,1.050793E-8
89.30844,1.053435E-8
89.33925,1.055969E-8
89.37005,1.058502E-8
89.40085,1.061035E-8
89.43165,1.063568E-8
89.46108,1.065988E-8
89.49051,1.068409E-8
89.51994,1.070829E-8
89.54937,1.07325E-8
89.5788,1.07567E-8
89.60823,1.07809E-8
89.66708,1.08293E-8
89.6963,1.085333E-8
89.72552,1.087737E-8
89.75811,1.090417E-8
89.7907,1.093097E-8
89.7965,1.093574E-8
89.80937,1.094633E-8
89.82223,1.09569E-8
89.84795,1.097806E-8
89.87507,1.100036E-8
89.90219,1.102266E-8
89.92931,1.104497E-8
89.94287,1.105612E-8
89.95643,1.106727E-8
89.97066,1.107897E-8
89.98488,1.109067E-8
90.00121,1.11041E-8
90.01754,1.111753E-8
90.03387,1.113096E-8
90.05019,1.114438E-8
90.06652,1.115781E-8
90.08285,1.117124E-8
90.09918,1.118467E-8
90.1155,1.119809E-8
90.13112,1.121094E-8
90.14674,1.122379E-8
90.16236,1.123663E-8
90.17798,1.124948E-8
90.20922,1.127517E-8
90.24045,1.130086E-8
90.2464,1.130575E-8
90.26055,1.131739E-8
90.27469,1.132902E-8
90.30298,1.135228E-8
90.32129,1.136734E-8
90.33959,1.138239E-8
90.36643,1.140447E-8
90.37319,1.141002E-8
90.39685,1.142948E-8
90.4205,1.144893E-8
90.44515,1.146921E-8
90.4698,1.148948E-8
90.51701,1.152831E-8
90.56421,1.156712E-8
90.58519,1.158438E-8
90.60617,1.160163E-8
90.62252,1.161508E-8
90.63886,1.162852E-8
90.6552,1.164196E-8
90.67154,1.165539E-8
90.68789,1.166884E-8
90.70423,1.168228E-8
90.72057,1.169572E-8
90.73691,1.170916E-8
90.75326,1.17226E-8
90.7696,1.173604E-8
90.78594,1.174948E-8
90.80228,1.176292E-8
90.81863,1.177637E-8
90.83497,1.17898E-8
90.85131,1.180324E-8
90.86765,1.181668E-8
90.88258,1.182896E-8
90.89751,1.184124E-8
90.92736,1.186579E-8
90.95721,1.189034E-8
90.98706,1.191489E-8
91.01692,1.193944E-8
91.04677,1.196399E-8
91.10647,1.201309E-8
91.1482,1.204741E-8
91.18992,1.208172E-8
91.23165,1.211604E-8
91.27337,1.215035E-8
91.29945,1.21718E-8
91.32553,1.219325E-8
91.35161,1.22147E-8
91.37768,1.223614E-8
91.4323,1.228106E-8
91.48691,1.232597E-8
91.54152,1.237089E-8
91.56883,1.239335E-8
91.59613,1.24158E-8
91.63148,1.244487E-8
91.64915,1.24594E-8
91.66682,1.247394E-8
91.68449,1.248847E-8
91.70216,1.2503E-8
91.71983,1.251753E-8
91.7375,1.253207E-8
91.75959,1.255023E-8
91.78168,1.25684E-8
91.80377,1.258657E-8
91.82586,1.260474E-8
91.85679,1.263017E-8
91.88771,1.26556E-8
91.94956,1.270647E-8
91.9849,1.273553E-8
92.00845,1.27549E-8
92.032,1.277427E-8
92.03788,1.277911E-8
92.05551,1.279361E-8
92.07313,1.28081E-8
92.11885,1.28457E-8
92.16456,1.288329E-8
92.19783,1.291065E-8
92.21447,1.292434E-8
92.2311,1.293801E-8
92.2461,1.295035E-8
92.26672,1.296731E-8
92.28734,1.298427E-8
92.30796,1.300123E-8
92.32858,1.301818E-8
92.3492,1.303514E-8
92.36982,1.30521E-8
92.41105,1.308601E-8
92.45743,1.312415E-8
92.48062,1.314323E-8
92.5038,1.316229E-8
92.5277,1.318195E-8
92.5516,1.32016E-8
92.5766,1.322216E-8
92.58159,1.322627E-8
92.60154,1.324267E-8
92.62534,1.326225E-8
92.64914,1.328182E-8
92.68586,1.331202E-8
92.72258,1.334222E-8
92.75726,1.337074E-8
92.79194,1.339926E-8
92.80928,1.341352E-8
92.82662,1.342778E-8
92.84396,1.344204E-8
92.86129,1.34563E-8
92.87761,1.346972E-8
92.89392,1.348313E-8
92.9082,1.349488E-8
92.92248,1.350662E-8
92.93676,1.351837E-8
92.95104,1.353011E-8
92.96532,1.354185E-8
92.9796,1.35536E-8
92.99388,1.356534E-8
93.00815,1.357708E-8
93.02685,1.359246E-8
93.04554,1.360783E-8
93.06423,1.36232E-8
93.08292,1.363857E-8
93.1203,1.366931E-8
93.15768,1.370006E-8
93.18614,1.372346E-8
93.2146,1.374687E-8
93.23309,1.376208E-8
93.25931,1.378364E-8
93.28553,1.38052E-8
93.3244,1.383717E-8
93.36327,1.386914E-8
93.441,1.393307E-8
93.46258,1.395081E-8
